Country Name,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Iran, Islamic Rep.",31.45,49.66,28.94,17.35,17.87,20.07,14.48,11.27,14.34,16.47,14.76,13.43,10.02,17.34,25.41,13.55,10.09,26.29,27.26,36.6,16.61,12.48,7.25,8.04,18.01,39.91,30.59,43.39,43.49,44.58
Iraq,448.5,387.31,-16.12,23.06,14.77,12.58,4.98,16.37,19.32,33.62,26.96,36.96,53.23,-10.07,12.66,6.87,2.88,5.8,6.09,1.88,2.24,1.39,0.56,0.18,0.37,-0.2,0.57,6.04,4.99,4.36
Iceland,1.55,1.65,2.26,1.82,1.66,3.23,5.14,6.41,5.2,2.06,3.16,3.99,6.69,5.05,12.69,12.0,5.4,4.0,5.19,3.87,2.04,1.63,1.7,1.76,2.68,3.01,2.85,4.44,8.31,8.74
Israel,12.28,9.93,11.42,8.97,5.49,5.18,1.03,1.15,5.77,0.7,-0.38,1.31,2.06,0.46,4.55,3.36,2.69,3.48,1.68,1.57,0.48,-0.6,-0.55,0.26,0.79,0.85,-0.61,1.51,4.39,4.23
Italy,4.05,5.24,4.01,2.04,1.96,1.66,2.54,2.79,2.47,2.67,2.21,1.99,2.09,1.83,3.35,0.77,1.53,2.78,3.04,1.22,0.24,0.04,-0.09,1.23,1.14,0.61,-0.14,1.87,8.2,5.62
Jamaica,35.06,19.91,26.41,9.66,8.63,5.95,8.17,6.8,7.08,10.09,13.55,15.05,8.56,9.24,22.02,9.59,12.61,7.56,6.87,9.34,8.27,3.69,2.35,4.38,3.74,3.91,5.23,5.86,10.35,6.47
Jordan,3.52,2.35,6.5,3.04,3.09,0.61,0.67,1.77,1.83,1.63,3.36,3.49,6.25,4.74,13.97,-0.74,4.85,4.16,4.52,4.82,2.9,-0.88,-0.78,3.32,4.46,0.76,0.33,1.35,4.23,2.08
Japan,0.7,-0.13,0.14,1.75,0.66,-0.34,-0.68,-0.74,-0.92,-0.26,-0.01,-0.28,0.25,0.06,1.38,-1.35,-0.73,-0.27,-0.04,0.34,2.76,0.8,-0.13,0.48,0.99,0.47,-0.02,-0.23,2.5,3.27
Kazakhstan,1877.37,176.16,39.18,17.41,7.15,8.3,13.18,8.35,5.84,6.44,6.88,7.58,8.72,10.85,17.14,7.32,7.4,8.45,5.2,5.94,6.85,6.68,14.36,7.44,6.16,5.33,6.72,8.04,15.03,14.72
Kenya,28.81,1.55,8.86,11.36,6.72,5.74,9.98,5.74,1.96,9.82,11.62,10.31,14.45,9.76,26.24,9.23,3.96,14.02,9.38,5.72,6.88,6.58,6.3,8.01,4.69,5.24,5.41,6.11,7.66,7.67
St. Kitts and Nevis,1.44,2.96,2.09,8.91,3.45,3.36,2.15,2.3,2.04,2.24,2.31,3.38,8.49,4.48,5.3,2.06,0.85,5.84,0.82,1.11,0.25,-2.3,-0.69,0.69,-1.04,-0.33,-1.17,1.2,2.67,3.56
"Korea, Rep.",6.27,4.48,4.92,4.44,7.51,0.81,2.26,4.07,2.76,3.51,3.59,2.75,2.24,2.53,4.67,2.76,2.94,4.03,2.19,1.3,1.27,0.71,0.97,1.94,1.48,0.38,0.54,2.5,5.09,3.6
Kuwait,2.53,2.69,3.55,0.68,0.13,2.99,1.81,1.3,0.89,0.96,1.25,4.14,3.06,5.48,10.58,4.61,4.5,4.84,3.26,2.68,2.91,3.27,3.2,2.17,0.54,1.09,2.1,3.42,3.98,3.64
Latin America & Caribbean (excluding high income),12.19,12.98,11.3,7.72,6.93,5.04,7.07,6.8,5.22,5.6,5.9,5.05,4.28,6.14,10.07,2.59,3.86,5.13,4.11,2.77,3.44,3.13,2.72,3.28,2.78,2.17,2.0,4.26,8.27,4.61
Lao PDR,6.78,19.59,13.02,27.51,90.98,125.27,25.08,7.81,10.63,15.49,10.46,7.17,6.55,4.66,7.63,0.14,5.98,7.57,4.26,6.37,4.13,1.28,1.6,0.83,2.04,3.32,5.1,3.76,22.96,31.23
Libya,5.11,7.24,4.03,3.55,3.71,2.65,-2.9,-8.81,-9.8,-2.19,-2.2,2.65,1.46,6.25,10.36,2.46,2.8,15.52,6.06,2.61,2.43,10.4,25.85,25.8,13.17,-2.16,1.45,2.87,4.51,2.37
St. Lucia,2.82,5.63,0.92,-0.01,3.2,3.5,3.71,5.31,-0.26,1.03,1.46,3.9,2.4,2.82,5.55,-0.16,3.25,2.77,4.18,1.47,3.52,-0.98,-3.08,0.1,1.94,0.54,-1.76,2.41,6.38,4.07
Latin America & Caribbean,9.7,10.19,7.36,6.95,5.11,3.45,4.61,4.06,3.95,3.73,4.38,4.44,4.25,4.58,8.11,2.5,3.49,4.98,3.78,2.53,3.38,1.86,1.65,2.19,2.32,2.25,0.99,3.5,7.78,4.63
Least developed countries: UN classification,25.18,15.45,9.33,8.02,7.11,4.93,3.9,4.71,4.46,6.49,4.53,7.56,6.85,7.79,11.01,4.56,5.05,6.61,6.31,5.52,4.27,3.55,5.51,4.77,3.48,3.32,4.33,4.17,8.83,7.8
Low income,25.18,16.43,7.83,5.03,4.82,1.67,3.61,4.25,3.3,6.49,3.99,8.45,7.31,7.93,11.68,5.01,4.4,7.62,6.83,5.7,4.41,4.96,5.87,8.28,2.97,2.87,4.46,5.81,9.62,9.98
Sri Lanka,8.45,7.67,15.94,9.57,9.36,4.69,6.18,14.16,9.55,6.31,7.58,11.64,10.02,15.84,22.56,3.46,6.22,6.72,7.54,6.91,3.18,3.77,3.96,7.7,2.14,3.53,6.15,7.01,49.72,16.54
Lower middle income,12.08,9.91,8.92,7.11,8.26,4.69,4.01,4.36,3.75,4.46,4.5,5.36,6.07,6.75,11.48,4.36,4.76,6.33,5.83,5.32,4.79,3.24,3.21,3.52,4.06,3.32,4.87,4.15,7.7,6.89
Low & middle income,20.57,11.71,8.98,7.09,6.88,4.68,4.06,5.08,4.24,5.14,4.5,6.43,6.07,6.25,10.36,4.22,4.28,6.16,5.02,4.77,3.56,3.17,3.02,3.67,3.24,2.74,2.96,4.19,8.31,6.07
Late-demographic dividend,11.44,8.01,7.23,5.88,5.44,3.39,4.1,4.65,2.8,3.23,3.86,4.14,4.37,5.44,8.96,3.04,3.3,4.37,3.32,2.68,2.04,1.56,1.11,2.18,2.47,2.16,1.94,3.5,8.52,5.98
Luxembourg,2.19,1.87,1.18,1.37,0.96,1.03,3.15,2.66,2.07,2.05,2.23,2.49,2.67,2.31,3.4,0.37,2.27,3.41,2.66,1.73,0.63,0.47,0.29,1.73,1.53,1.74,0.82,2.53,6.34,3.74
