Country Name,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Fiji,4.61,4.66,4.63,4.73,4.75,4.7,4.7,4.7,4.77,4.74,4.7,3.89,3.96,4.11,4.18,4.3,4.34,4.41,4.38,4.36,4.32,4.29,4.32,4.32,4.34,4.37,4.65,4.7,4.45,4.32
France,12.59,11.83,12.37,12.57,12.07,11.98,10.22,8.61,8.7,8.31,8.91,8.88,8.83,8.01,7.39,9.12,9.28,9.23,9.84,9.91,10.27,10.35,10.06,9.41,9.02,8.41,8.01,7.87,7.31,7.34
Gabon,17.79,17.41,17.35,17.2,17.18,17.57,17.79,17.76,17.35,17.12,17.1,16.91,17.78,18.26,19.19,19.75,20.39,19.94,19.73,19.79,19.92,19.98,20.13,20.3,20.44,20.36,21.27,21.22,20.4,20.28
United Kingdom,9.65,8.69,8.19,7.07,6.2,6.04,5.56,4.7,5.04,4.81,4.59,4.84,5.41,5.34,5.7,7.63,7.92,8.17,8.25,7.7,6.36,5.52,4.87,4.45,4.12,3.61,4.47,4.83,3.73,3.98
Ghana,5.9,6.48,7.08,7.64,8.2,10.1,10.46,9.6,8.7,7.72,6.76,5.82,4.9,5.09,5.14,5.35,5.38,4.23,3.14,2.17,4.42,6.81,5.23,3.37,3.25,3.16,3.31,3.38,3.08,3.06
"Gambia, The",10.1,10.2,10.24,10.05,9.96,9.8,9.79,9.71,10.08,10.03,9.99,9.96,10.26,10.43,10.09,9.82,9.72,10.28,10.35,9.45,8.22,7.26,6.28,5.16,4.13,4.54,5.89,6.27,6.08,6.48
Greece,9.81,10.12,10.4,10.47,12.23,12.14,11.34,10.76,10.35,9.84,10.63,10.07,8.91,8.35,7.66,9.55,12.72,17.97,24.73,27.69,26.71,24.98,23.51,21.41,19.18,17.05,15.9,14.66,12.43,11.07
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income,7.92,7.73,7.74,7.75,7.82,7.71,7.03,6.88,7.2,7.32,7.1,6.78,6.3,5.7,5.93,8.04,8.18,7.8,7.71,7.62,7.03,6.54,6.1,5.57,5.07,4.74,6.43,5.53,4.48,4.33
"Hong Kong SAR, China",1.9,3.22,2.83,2.22,4.58,6.25,4.92,5.09,7.28,7.86,6.74,5.58,4.77,4.01,3.56,5.26,4.33,3.42,3.28,3.4,3.3,3.31,3.39,3.12,2.8,2.92,5.81,5.17,4.32,2.95
Honduras,3.14,3.24,4.37,3.32,4.02,3.85,3.88,4.0,4.02,5.3,5.99,4.91,3.57,3.21,3.16,3.29,4.12,4.47,3.76,5.65,7.08,6.15,6.73,5.53,5.65,5.7,10.98,8.51,8.77,6.07
Heavily indebted poor countries (HIPC),5.16,4.99,4.96,4.9,4.97,5.11,5.15,5.08,5.05,5.0,4.86,4.69,4.61,4.55,4.53,4.57,4.79,4.75,4.56,4.28,4.29,4.43,4.37,4.38,4.35,4.36,5.08,4.99,4.45,4.23
Croatia,10.45,10.11,9.68,9.71,11.39,13.56,16.06,15.82,15.05,13.92,13.66,12.6,11.13,9.91,8.53,9.2,11.62,13.68,15.94,17.25,17.29,16.18,13.1,11.21,8.43,6.62,7.51,7.61,6.96,6.09
Haiti,7.97,7.56,7.32,6.98,7.16,7.2,8.45,9.75,11.05,12.18,13.45,14.59,15.91,16.8,16.2,15.35,15.25,14.48,14.1,13.64,13.76,13.72,13.85,13.88,13.88,14.06,15.55,15.28,14.64,14.56
Hungary,10.85,10.17,10.02,8.99,8.93,6.93,6.56,5.67,5.61,5.79,5.83,7.19,7.49,7.41,7.82,10.03,11.17,11.03,11.0,10.18,7.72,6.81,5.12,4.16,3.71,3.42,4.25,4.04,3.61,4.11
IBRD only,5.64,5.96,6.05,6.16,6.39,6.64,6.56,6.71,6.93,7.0,6.83,6.75,6.53,6.34,6.32,6.63,6.39,6.28,6.2,6.2,6.18,6.32,6.43,6.4,6.29,6.08,6.97,6.34,5.6,5.16
IDA & IBRD total,5.4,5.65,5.73,5.81,6.01,6.23,6.16,6.27,6.44,6.49,6.33,6.24,6.03,5.87,5.86,6.12,5.9,5.82,5.82,5.78,5.74,5.91,5.97,5.99,5.92,5.78,6.64,6.17,5.42,5.04
IDA total,4.29,4.24,4.28,4.26,4.35,4.44,4.44,4.43,4.41,4.38,4.27,4.16,4.0,3.99,4.07,4.14,4.06,4.1,4.41,4.24,4.14,4.45,4.34,4.55,4.66,4.78,5.58,5.63,4.86,4.63
IDA blend,3.62,3.7,3.83,3.81,3.94,3.95,3.83,3.71,3.5,3.36,3.19,3.13,3.03,2.88,2.9,2.95,2.99,3.02,3.94,3.68,3.39,4.07,3.82,4.4,4.85,5.2,6.0,5.98,4.93,4.52
Indonesia,4.37,4.61,4.86,4.68,5.46,6.36,6.08,6.08,6.6,6.66,7.3,7.94,7.55,8.06,7.21,6.11,5.61,5.15,4.47,4.34,4.05,4.51,4.3,3.78,4.39,3.59,4.26,3.83,3.46,3.31
IDA only,4.62,4.5,4.5,4.48,4.55,4.68,4.74,4.79,4.87,4.89,4.81,4.68,4.5,4.55,4.66,4.74,4.61,4.66,4.66,4.53,4.53,4.64,4.62,4.63,4.56,4.57,5.35,5.45,4.83,4.68
India,7.64,7.61,7.56,7.61,7.64,7.62,7.62,7.65,7.75,7.68,7.62,7.55,7.55,7.56,7.66,7.66,7.65,7.62,7.67,7.71,7.67,7.63,7.6,7.62,7.65,6.51,7.86,6.38,4.82,4.17
Ireland,14.54,11.97,11.69,10.19,7.7,5.8,4.32,3.68,4.22,4.48,4.49,4.24,4.36,4.98,6.77,12.61,14.53,15.35,15.45,13.74,11.86,9.91,8.37,6.71,5.74,4.95,5.62,6.36,4.5,4.29
"Iran, Islamic Rep.",10.45,9.9,9.1,9.68,10.36,11.17,11.7,12.36,12.8,11.53,10.3,11.81,11.52,10.77,10.63,12.11,13.68,12.49,12.28,10.6,10.68,11.17,12.62,12.23,12.2,10.74,9.69,9.28,9.09,9.04
Iraq,8.24,8.45,8.53,8.29,8.09,8.0,8.06,8.26,8.62,8.96,8.72,8.58,8.42,8.65,8.47,8.41,8.27,8.19,7.96,9.2,10.59,10.84,10.82,13.02,13.49,14.11,15.78,16.17,15.51,15.45
Iceland,5.33,5.2,3.6,3.72,3.07,2.18,1.94,1.87,2.99,4.0,4.03,2.55,2.83,2.25,2.95,7.22,7.56,7.03,6.0,5.38,4.9,3.98,2.98,2.74,2.7,3.51,5.48,6.03,3.79,3.52
Israel,9.93,8.78,8.46,9.75,10.75,11.18,11.1,11.81,12.89,13.5,13.03,11.34,10.71,9.38,7.7,9.53,8.48,7.14,6.76,6.14,5.79,5.18,4.72,4.14,3.92,3.73,4.17,4.81,3.7,3.6
Italy,11.09,11.66,11.86,11.98,12.12,11.68,10.83,9.6,9.21,8.87,7.87,7.73,6.78,6.08,6.72,7.75,8.36,8.36,10.66,12.15,12.68,11.9,11.69,11.21,10.61,9.95,9.16,9.5,8.07,7.63
Jamaica,6.34,6.33,6.62,6.7,6.86,6.82,6.76,6.65,6.62,6.54,6.54,6.58,6.6,6.61,6.67,7.31,7.63,8.03,8.7,9.7,9.05,8.82,8.63,7.4,5.47,4.99,6.5,5.19,4.08,4.4
Jordan,16.9,14.6,13.7,13.74,13.84,13.76,13.7,14.7,15.3,14.5,14.63,14.8,14.0,13.1,12.7,12.9,12.5,12.9,12.2,12.6,11.9,13.08,15.28,18.12,18.26,16.8,19.21,19.84,18.2,17.97
Japan,2.89,3.15,3.38,3.37,4.08,4.68,4.75,5.02,5.39,5.25,4.73,4.45,4.19,3.89,4.0,5.07,5.1,4.55,4.36,4.04,3.59,3.38,3.13,2.82,2.47,2.35,2.81,2.83,2.6,2.6
Kazakhstan,7.54,10.98,12.96,13.01,13.13,13.46,12.75,10.43,9.33,8.78,8.4,8.13,7.79,7.26,6.63,6.55,5.77,5.39,5.29,5.2,5.06,4.93,4.96,4.9,4.85,4.8,4.89,5.55,4.86,4.82
Kenya,2.96,2.86,2.78,2.83,2.85,2.89,2.89,2.88,2.92,2.87,2.85,2.74,2.68,2.65,2.76,2.82,2.8,2.7,2.68,2.76,2.77,2.76,2.76,3.54,4.28,5.01,5.62,5.69,5.71,5.57
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",2.48,2.06,2.05,2.61,6.96,6.34,4.06,3.7,3.05,3.35,3.42,3.48,3.25,3.01,2.96,3.36,3.32,2.99,2.81,2.75,3.08,3.55,3.65,3.65,3.82,3.75,3.93,3.64,2.86,2.68
Kuwait,0.7,0.69,0.7,0.7,0.7,0.7,0.8,0.8,1.1,1.3,1.7,1.46,1.3,1.5,1.75,1.64,1.82,2.05,2.23,2.47,2.9,2.2,2.16,2.23,2.2,2.25,3.56,3.0,2.17,2.13
Latin America & Caribbean (excluding high income),6.49,7.81,8.06,7.94,8.35,9.11,9.18,8.77,8.98,8.81,8.36,8.04,7.49,7.16,6.76,7.76,7.14,6.65,6.37,6.29,6.1,6.69,7.89,8.21,8.07,8.12,10.27,9.23,6.9,6.12
Lao PDR,2.64,2.6,2.45,2.35,2.29,2.15,2.05,1.88,1.78,1.64,1.5,1.35,1.2,1.07,0.94,0.83,0.71,1.06,1.4,1.76,2.12,2.49,2.88,3.27,2.9,2.54,2.36,2.07,1.21,1.19
Libya,19.35,19.44,19.3,19.44,19.28,19.33,19.2,19.23,19.25,19.05,18.91,18.64,18.78,18.74,19.01,19.25,19.28,19.48,19.03,19.33,19.31,19.68,19.52,19.02,18.84,19.05,19.61,19.64,19.28,18.75
St. Lucia,17.0,15.83,16.33,20.47,21.6,18.09,16.49,18.55,20.39,22.18,20.97,18.7,16.0,14.0,12.72,15.37,17.12,18.86,19.06,22.21,21.6,20.86,19.93,19.14,19.33,15.61,25.22,20.51,15.93,11.09
Latin America & Caribbean,6.69,7.92,8.31,8.15,8.5,9.44,9.46,9.07,9.41,9.27,8.75,8.24,7.61,7.23,6.84,7.81,7.21,6.71,6.41,6.37,6.18,6.67,7.73,8.03,7.93,8.0,10.21,9.16,6.92,6.21
Least developed countries: UN classification,4.6,4.5,4.48,4.47,4.55,4.65,4.7,4.73,4.82,4.9,4.86,4.79,4.68,4.74,4.8,4.89,4.76,4.86,4.84,4.79,4.75,4.84,4.91,4.97,4.89,4.89,5.64,5.75,5.09,4.95
